,station_id,stationname,date,daytype,rides
74,40350,UIC-Halsted,12/08/2017,W,"7,462"
113,40350,UIC-Halsted,12/30/2017,A,837
397,40350,UIC-Halsted,12/13/2017,W,"5,828"
568,40350,UIC-Halsted,12/11/2017,W,"5,614"
578,40350,UIC-Halsted,12/20/2017,W,"3,072"
759,40350,UIC-Halsted,12/01/2017,W,"7,718"
958,40350,UIC-Halsted,12/28/2017,W,"1,575"
1030,40350,UIC-Halsted,12/04/2017,W,"7,800"
1186,40350,UIC-Halsted,12/19/2017,W,"3,306"
1375,40350,UIC-Halsted,12/06/2017,W,"7,813"
1470,40350,UIC-Halsted,12/29/2017,W,"1,472"
1492,40350,UIC-Halsted,12/17/2017,U,"1,321"
1566,40350,UIC-Halsted,12/25/2017,U,369
1851,40350,UIC-Halsted,12/15/2017,W,"5,217"
1893,40350,UIC-Halsted,12/27/2017,W,"1,347"
2053,40350,UIC-Halsted,12/05/2017,W,"7,731"
2325,40350,UIC-Halsted,12/02/2017,A,"2,340"
2533,40350,UIC-Halsted,12/31/2017,U,800
2883,40350,UIC-Halsted,12/14/2017,W,"5,493"
2974,40350,UIC-Halsted,12/09/2017,A,"1,947"
2995,40350,UIC-Halsted,12/22/2017,W,"2,334"
3005,40350,UIC-Halsted,12/24/2017,U,659
3373,40350,UIC-Halsted,12/07/2017,W,"7,661"
3485,40350,UIC-Halsted,12/18/2017,W,"3,216"
3645,40350,UIC-Halsted,12/16/2017,A,"1,915"
4073,40350,UIC-Halsted,12/12/2017,W,"5,553"
4187,40350,UIC-Halsted,12/26/2017,W,"1,019"
4190,40350,UIC-Halsted,12/23/2017,A,997
4224,40350,UIC-Halsted,12/10/2017,U,"1,285"
4241,40350,UIC-Halsted,12/21/2017,W,"2,718"
4422,40350,UIC-Halsted,12/03/2017,U,"1,645"
4609,40350,UIC-Halsted,03/07/2018,W,"7,467"
4644,40350,UIC-Halsted,02/04/2018,U,"1,085"
4693,40350,UIC-Halsted,02/13/2018,W,"7,493"
4841,40350,UIC-Halsted,03/04/2018,U,"1,397"
5088,40350,UIC-Halsted,03/08/2018,W,"7,258"
5185,40350,UIC-Halsted,02/02/2018,W,"6,829"
5328,40350,UIC-Halsted,01/20/2018,A,"2,216"
5464,40350,UIC-Halsted,01/08/2018,W,"2,800"
5467,40350,UIC-Halsted,03/23/2018,W,"6,685"
5498,40350,UIC-Halsted,02/28/2018,W,"7,501"
5551,40350,UIC-Halsted,03/01/2018,W,"7,118"
5947,40350,UIC-Halsted,03/11/2018,U,"1,376"
6045,40350,UIC-Halsted,01/18/2018,W,"7,420"
6154,40350,UIC-Halsted,02/24/2018,A,"2,185"
6161,40350,UIC-Halsted,03/20/2018,W,"7,017"
6251,40350,UIC-Halsted,02/21/2018,W,"7,634"
6329,40350,UIC-Halsted,01/10/2018,W,"3,168"
6743,40350,UIC-Halsted,01/03/2018,W,"2,249"
6751,40350,UIC-Halsted,03/25/2018,U,"1,430"
6792,40350,UIC-Halsted,03/19/2018,W,"7,067"
6807,40350,UIC-Halsted,01/14/2018,U,"1,218"
6826,40350,UIC-Halsted,03/09/2018,W,"6,909"
6868,40350,UIC-Halsted,02/03/2018,A,"1,769"
7082,40350,UIC-Halsted,02/09/2018,W,"3,640"
7182,40350,UIC-Halsted,01/22/2018,W,"7,505"
7503,40350,UIC-Halsted,02/20/2018,W,"7,203"
