	station_id	stationname	date	daytype	rides
32	40370	Washington/Dearborn	12/23/2017	A	6,744
250	40370	Washington/Dearborn	12/25/2017	U	1,696
686	40370	Washington/Dearborn	12/20/2017	W	13,896
728	40370	Washington/Dearborn	12/30/2017	A	4,182
743	40370	Washington/Dearborn	12/16/2017	A	7,984
1031	40370	Washington/Dearborn	12/09/2017	A	7,952
1142	40370	Washington/Dearborn	12/28/2017	W	9,178
1407	40370	Washington/Dearborn	12/11/2017	W	13,784
1411	40370	Washington/Dearborn	12/10/2017	U	5,773
1468	40370	Washington/Dearborn	12/04/2017	W	13,998
1513	40370	Washington/Dearborn	12/15/2017	W	13,368
2032	40370	Washington/Dearborn	12/18/2017	W	13,839
2088	40370	Washington/Dearborn	12/31/2017	U	3,031
2101	40370	Washington/Dearborn	12/02/2017	A	8,565
2211	40370	Washington/Dearborn	12/19/2017	W	14,024
2347	40370	Washington/Dearborn	12/06/2017	W	13,727
2427	40370	Washington/Dearborn	12/22/2017	W	12,316
2461	40370	Washington/Dearborn	12/14/2017	W	13,747
2592	40370	Washington/Dearborn	12/24/2017	U	3,639
2652	40370	Washington/Dearborn	12/12/2017	W	13,845
2898	40370	Washington/Dearborn	12/07/2017	W	13,908
2939	40370	Washington/Dearborn	12/17/2017	U	5,619
2960	40370	Washington/Dearborn	12/03/2017	U	6,392
2976	40370	Washington/Dearborn	12/05/2017	W	13,755
3100	40370	Washington/Dearborn	12/29/2017	W	8,939
3201	40370	Washington/Dearborn	12/08/2017	W	14,275
3320	40370	Washington/Dearborn	12/13/2017	W	13,509
3536	40370	Washington/Dearborn	12/27/2017	W	8,391
3583	40370	Washington/Dearborn	12/01/2017	W	14,817
3852	40370	Washington/Dearborn	12/21/2017	W	13,360
4431	40370	Washington/Dearborn	12/26/2017	W	6,061
4611	40370	Washington/Dearborn	01/26/2018	W	12,597
4653	40370	Washington/Dearborn	03/02/2018	W	12,734
4882	40370	Washington/Dearborn	01/19/2018	W	12,445
4934	40370	Washington/Dearborn	01/14/2018	U	3,383
4981	40370	Washington/Dearborn	03/21/2018	W	13,044
5055	40370	Washington/Dearborn	03/04/2018	U	3,900
5208	40370	Washington/Dearborn	01/24/2018	W	13,003
5544	40370	Washington/Dearborn	03/10/2018	A	5,688
5688	40370	Washington/Dearborn	03/25/2018	U	4,001
5855	40370	Washington/Dearborn	01/12/2018	W	11,945
5954	40370	Washington/Dearborn	03/11/2018	U	3,958
5992	40370	Washington/Dearborn	02/04/2018	U	2,861
6186	40370	Washington/Dearborn	02/28/2018	W	12,978
6200	40370	Washington/Dearborn	02/14/2018	W	13,770
6420	40370	Washington/Dearborn	01/05/2018	W	11,092
6445	40370	Washington/Dearborn	01/08/2018	W	12,094
6471	40370	Washington/Dearborn	03/08/2018	W	13,278
6535	40370	Washington/Dearborn	03/13/2018	W	13,591
6963	40370	Washington/Dearborn	03/01/2018	W	12,914
7148	40370	Washington/Dearborn	02/24/2018	A	5,290
7222	40370	Washington/Dearborn	03/24/2018	A	4,919
7315	40370	Washington/Dearborn	02/09/2018	W	8,206
7356	40370	Washington/Dearborn	01/06/2018	A	3,975
7418	40370	Washington/Dearborn	03/14/2018	W	13,581
7446	40370	Washington/Dearborn	03/31/2018	A	4,752
7485	40370	Washington/Dearborn	01/03/2018	W	11,334
7903	40370	Washington/Dearborn	01/09/2018	W	12,189
7911	40370	Washington/Dearborn	03/23/2018	W	12,478
7967	40370	Washington/Dearborn	01/28/2018	U	3,470
8077	40370	Washington/Dearborn	03/28/2018	W	12,905
8311	40370	Washington/Dearborn	01/10/2018	W	12,455
8418	40370	Washington/Dearborn	01/01/2018	U	2,709
8485	40370	Washington/Dearborn	03/18/2018	U	4,998
8495	40370	Washington/Dearborn	01/11/2018	W	12,540
8884	40370	Washington/Dearborn	01/31/2018	W	12,749
8976	40370	Washington/Dearborn	02/01/2018	W	12,802
9462	40370	Washington/Dearborn	01/29/2018	W	12,533
9571	40370	Washington/Dearborn	03/19/2018	W	13,305
9684	40370	Washington/Dearborn	01/23/2018	W	13,061
9786	40370	Washington/Dearborn	02/13/2018	W	13,728
10008	40370	Washington/Dearborn	02/19/2018	W	8,640
10169	40370	Washington/Dearborn	03/17/2018	A	11,550
10229	40370	Washington/Dearborn	01/13/2018	A	4,316
10263	40370	Washington/Dearborn	02/12/2018	W	11,653
10420	40370	Washington/Dearborn	02/06/2018	W	12,556
10613	40370	Washington/Dearborn	02/03/2018	A	4,467
10982	40370	Washington/Dearborn	03/09/2018	W	12,587
11610	40370	Washington/Dearborn	03/16/2018	W	13,310
11716	40370	Washington/Dearborn	02/21/2018	W	12,955
11833	40370	Washington/Dearborn	02/15/2018	W	13,320
11840	40370	Washington/Dearborn	02/18/2018	U	4,183
11916	40370	Washington/Dearborn	03/06/2018	W	12,889
12132	40370	Washington/Dearborn	02/22/2018	W	12,875
12168	40370	Washington/Dearborn	02/08/2018	W	12,965
12282	40370	Washington/Dearborn	03/07/2018	W	13,135
12506	40370	Washington/Dearborn	03/22/2018	W	13,241
12604	40370	Washington/Dearborn	02/05/2018	W	12,380
12722	40370	Washington/Dearborn	01/16/2018	W	12,790
12882	40370	Washington/Dearborn	01/17/2018	W	13,005
12921	40370	Washington/Dearborn	02/25/2018	U	4,033
13107	40370	Washington/Dearborn	03/15/2018	W	13,772
13280	40370	Washington/Dearborn	01/27/2018	A	4,975
13290	40370	Washington/Dearborn	01/20/2018	A	6,070
13368	40370	Washington/Dearborn	01/22/2018	W	12,682
